info.promut.indicator   | info.promut.indicator_name | info.promut.indicator_descr | info.promut.indicator_category#info.promut.categorizes | info.promut.indicator_type | info.promut.indicator_formula | info.promut.indicator_objective | info.promut.indicator_uri | dmx.base.url
ecogood-c3-3 | C3.3 Organisationskultur, Sensibilisierung für ökologische Prozessgestaltung | | Ökologische Nachhaltigkeit, Mitarbeiter:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-c3-4 | C3.4 Negativaspekt: Anleitung zur Verschwendung / Duldung unökologischen Verhaltens  | | Ökologische Nachhaltigkeit, Mitarbeiter:innen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-d3 | D3 Ökologische Auswirkung durch Nutzung und Entsorgung von Produkten und Dienstleistungen | | Ökologische Nachhaltigkeit, Kund:innen & Mitunternehmen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-d3-1 | D3.1 Ökologisches Kosten-Nutzen-Verhältnis von Produkten und Dienstleistungen (Effizienz und Konsistenz) | | Ökologische Nachhaltigkeit, Kund:innen & Mitunternehmen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-d3-2 | D3.2 Maßvolle Nutzung von Produkten und Dienstleistungen (Suffizienz) | | Ökologische Nachhaltigkeit, Kund:innen & Mitunternehmen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-d3-3 | D3.3 Negativaspekt: bewusste Inkaufnahme unverhältnismäßiger ökologischer Auswirkungen  | | Ökologische Nachhaltigkeit, Kund:innen & Mitunternehmen | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-e3 | E3 Reduktion ökologischer Auswirkungen |  | Ökologische Nachhaltigkeit, Gesellschaftliches Umfeld | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-e3-1  | E3.1 Absolute Auswirkungen / Management und Strategie |  | Ökologische Nachhaltigkeit, Gesellschaftliches Umfeld | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-e3-2  | E3.2 Relative Auswirkungen | <p>relevante Vergleichswerte bez&uuml;glich Umweltkonten oder Wirkungskenngr&ouml;&szlig;en (siehe E3.1) in der Branche bzw. Region | Ökologische Nachhaltigkeit, Gesellschaftliches Umfeld | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
ecogood-e3-3  | E3.3 Negativaspekt: Verstöße gegen Umweltauflagen sowie unangemessene Umweltbelastungen | | Ökologische Nachhaltigkeit, Gesellschaftliches Umfeld | | | | https://web.ecogood.org/de/unsere-arbeit/gemeinwohl-bilanz/gemeinwohl-matrix/, https://web.ecogood.org/media/filer_public/73/da/73dab961-6125-4f69-bf7a-3c8613a90739/gwoe_arbeitsbuch_5_0_vollbilanz.pdf | 
